ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band	gene_biotype
ENSG00000246032		7	142493795	142497628	q34	lincRNA
ENSG00000249538		7	148113276	148118086	q36.1	lincRNA
ENSG00000250134		7	148138092	148194449	q36.1	lincRNA
ENSG00000249583		7	149697841	149702213	q36.1	lincRNA
ENSG00000249498		7	150004701	150010334	q36.1	lincRNA
ENSG00000251505		7	151532802	151576297	q36.1	lincRNA
ENSG00000250419		21	47712916	47714699	q22.3	lincRNA
ENSG00000245754		21	47874900	47878593	q22.3	lincRNA
ENSG00000248681		21	9738602	9744232	p11.2	lincRNA
ENSG00000250851		21	19375901	19378601	q21.1	lincRNA
ENSG00000246147		21	26931716	26936957	q21.3	lincRNA
ENSG00000251052		21	26943332	27416048	q21.3	lincRNA
ENSG00000251481		21	37426162	37481988	q22.12	lincRNA
ENSG00000251415		21	44337150	44339420	q22.3	lincRNA
ENSG00000248623		21	44373890	44376488	q22.3	lincRNA
ENSG00000250713		21	46286280	46288992	q22.3	lincRNA
ENSG00000246532		11	573801	575885	p15.5	lincRNA
ENSG00000227631		11	1286247	1299533	p15.5	lincRNA
ENSG00000249390		11	3837982	3843130	p15.4	lincRNA
ENSG00000248835		11	4099132	4100803	p15.4	lincRNA
ENSG00000245502		11	17144989	17151081	p15.1	lincRNA
ENSG00000247595		11	18621351	18631802	p15.1	lincRNA
ENSG00000248689		11	32875249	32879665	p13	lincRNA
ENSG00000245895		11	34483603	34490057	p13	lincRNA
ENSG00000246343		11	45168194	45236289	p11.2	lincRNA
ENSG00000251053		11	47385871	47389974	p11.2	lincRNA
ENSG00000251217		11	60783658	60787846	q12.2	lincRNA
ENSG00000250230		11	61369985	61375017	q12.2	lincRNA
ENSG00000250832		11	64869274	64874222	q13.1	lincRNA
ENSG00000248509		11	67544666	67550430	q13.2	lincRNA
ENSG00000247484		11	67776911	67784501	q13.2	lincRNA
ENSG00000250508		11	68638132	68642010	q13.3	lincRNA
ENSG00000251143		11	71725337	71731956	q13.4	lincRNA
ENSG00000245148		11	72411519	72416644	q13.4	lincRNA
ENSG00000247629		11	73594907	73597717	q13.4	lincRNA
ENSG00000246211		11	74022407	74035749	q13.4	lincRNA
ENSG00000249164		11	74691592	74695088	q13.4	lincRNA
ENSG00000247103		11	85718321	85725382	q14.2	lincRNA
ENSG00000247264		11	85994954	85998013	q14.2	lincRNA
ENSG00000245552		11	94883703	94892312	q21	lincRNA
ENSG00000244975		11	111743332	111782833	q23.1	lincRNA
ENSG00000246100		11	115624966	115631345	q23.3	lincRNA
ENSG00000250570		11	116756762	116761437	q23.3	lincRNA
ENSG00000244817		11	118182859	118185506	q23.3	lincRNA
ENSG00000245740		11	118307944	118309873	q23.3	lincRNA
ENSG00000247445		11	126210853	126225482	q24.2	lincRNA
ENSG00000249683		11	129482020	129487164	q24.3	lincRNA
ENSG00000232330		9	136566925	136570642	q34.2	lincRNA
ENSG00000251337		9	138900082	138901544	q34.3	lincRNA
ENSG00000246044		9	139006434	139010514	q34.3	lincRNA
ENSG00000246129		9	139155771	139159083	q34.3	lincRNA
ENSG00000249712		9	139640613	139644363	q34.3	lincRNA
ENSG00000249113		3	7648580	7841533	p26.1	lincRNA
ENSG00000232552		3	10193474	10194797	p25.3	lincRNA
ENSG00000248829		3	11613717	11625091	p25.3	lincRNA
ENSG00000236001		3	12548553	12581122	p25.2	lincRNA
ENSG00000246066		3	13054481	13057307	p25.2	lincRNA
ENSG00000247431		3	14240060	14242620	p25.1	lincRNA
ENSG00000244821		3	15111582	15116145	p25.1	lincRNA
ENSG00000226472		3	18004064	18310408	p24.3	lincRNA
ENSG00000250051		3	24132680	24323468	p24.2	lincRNA
ENSG00000246020		3	37400868	37408234	p22.2	lincRNA
ENSG00000250029		3	39821027	39824881	p22.1	lincRNA
ENSG00000246446		3	40214646	40351033	p22.1	lincRNA
ENSG00000245906		3	40503867	40508645	p22.1	lincRNA
ENSG00000245715		3	41262338	41266542	p22.1	lincRNA
ENSG00000245865		3	44482424	44486946	p21.31	lincRNA
ENSG00000250823		3	47455558	47457105	p21.31	lincRNA
ENSG00000246870		3	48704125	48976346	p21.31	lincRNA
ENSG00000232483		3	48731727	48732949	p21.31	lincRNA
ENSG00000249660		3	49568371	49571652	p21.31	lincRNA
ENSG00000250212		3	50297829	50339249	p21.31	lincRNA
ENSG00000250864		3	51428782	51431933	p21.2	lincRNA
ENSG00000245797		3	52570621	52575907	p21.1	lincRNA
ENSG00000246653		3	52625855	52628544	p21.1	lincRNA
ENSG00000248224		3	58277993	58280451	p14.3	lincRNA
ENSG00000249953		3	72639370	73447965	p13	lincRNA
ENSG00000234317		3	75716700	75721122	p12.3	lincRNA
ENSG00000249130		3	81597097	81598657	p12.2	lincRNA
ENSG00000232092		3	87138430	87147851	p12.1	lincRNA
ENSG00000245070		3	107149777	107182756	q13.12	lincRNA
ENSG00000249508		3	109056665	109101875	q13.13	lincRNA
ENSG00000223613		3	113518425	113529901	q13.31	lincRNA
ENSG00000249939		3	119226932	119230323	q13.33	lincRNA
ENSG00000249575		3	122597948	122600320	q21.1	lincRNA
ENSG00000248808		3	129465203	129468530	q22.1	lincRNA
ENSG00000249979		3	139397464	139401406	q23	lincRNA
ENSG00000246920		3	141655549	141731018	q23	lincRNA
ENSG00000245409		3	141666275	141669388	q23	lincRNA
ENSG00000228676		3	171758836	171760763	q26.31	lincRNA
ENSG00000246811		3	172427787	172443930	q26.31	lincRNA
ENSG00000245372		3	176908453	176912093	q26.32	lincRNA
ENSG00000249214		3	185337709	185508293	q27.2	lincRNA
ENSG00000247017		3	190023503	190040232	q28	lincRNA
ENSG00000249796		3	195351223	195356372	q29	lincRNA
ENSG00000249598		3	195666276	195726902	q29	lincRNA
ENSG00000248855		3	195669004	195672585	q29	lincRNA
ENSG00000250211		3	196768365	196774391	q29	lincRNA
ENSG00000246832		3	197603466	197609382	q29	lincRNA
ENSG00000249724		X	3769033	3809506	p22.33	lincRNA
ENSG00000250035		X	3807458	3847937	p22.33	lincRNA
ENSG00000249651		X	10025000	10026749	p22.2	lincRNA
ENSG00000250774		X	18917183	18921343	p22.13	lincRNA
ENSG00000246650		X	20005041	20009038	p22.12	lincRNA
ENSG00000249566		X	23093708	23096495	p22.11	lincRNA
ENSG00000247055		X	39931197	39937210	p11.4	lincRNA
ENSG00000245461		X	51486516	51489023	p11.22	lincRNA
ENSG00000249461		X	52934790	52937583	p11.22	lincRNA
ENSG00000224306		X	53220979	53254368	p11.22	lincRNA
ENSG00000250466		X	53328271	53335497	p11.22	lincRNA
ENSG00000250805		X	57244100	57251237	p11.21	lincRNA
ENSG00000249187		X	57620186	57623908	p11.21	lincRNA
ENSG00000248499		X	70917046	70926305	q13.1	lincRNA
ENSG00000248135		X	70994970	71004228	q13.1	lincRNA
ENSG00000246121		X	73421437	73461983	q13.2	lincRNA
ENSG00000250499		X	100258821	100262956	q22.1	lincRNA
ENSG00000245920		X	102930428	102933308	q22.2	lincRNA
ENSG00000246866		X	109246852	109420639	q23	lincRNA
ENSG00000250881		X	117569275	117579991	q24	lincRNA
ENSG00000249999		X	119170201	119280760	q24	lincRNA
ENSG00000251641		X	120181438	120183374	q24	lincRNA
ENSG00000250770		X	122889839	123046064	q25	lincRNA
ENSG00000251522		6	1496350	1519554	p25.3	lincRNA
ENSG00000246005		6	2244111	2245808	p25.3	lincRNA
ENSG00000248974		6	2771262	2783599	p25.2	lincRNA
ENSG00000247767		6	2884222	2900909	p25.2	lincRNA
ENSG00000244911		6	3156542	3157778	p25.2	lincRNA
ENSG00000246738		6	3229006	3288894	p25.2	lincRNA
ENSG00000247306		6	3455937	3461032	p25.2	lincRNA
ENSG00000249537		6	3688363	3720311	p25.2	lincRNA
ENSG00000250255		6	5030206	5043682	p25.1	lincRNA
ENSG00000248284		6	5031990	5054657	p25.1	lincRNA
ENSG00000251561		6	5072827	5240729	p25.1	lincRNA
ENSG00000251145		6	5892673	5986353	p25.1	lincRNA
ENSG00000248940		6	6695027	6700720	p25.1	lincRNA
ENSG00000247225		6	6725119	6730139	p25.1	lincRNA
ENSG00000247276		6	8435926	8712519	p24.3	lincRNA
ENSG00000247393		6	10743566	10747802	p24.2	lincRNA
ENSG00000246442		6	10932552	10954322	p24.2	lincRNA
ENSG00000249190		6	11200607	11205155	p24.2	lincRNA
ENSG00000251392		6	17501598	17511496	p22.3	lincRNA
ENSG00000250139		6	18522978	18723129	p22.3	lincRNA
ENSG00000250785		6	22135186	22147422	p22.3	lincRNA
ENSG00000249949		6	22569795	22571892	p22.3	lincRNA
ENSG00000249810		6	24667807	24670175	p22.3	lincRNA
ENSG00000251355		6	25015181	25042398	p22.3	lincRNA
ENSG00000251622		6	25687070	25689029	p22.2	lincRNA
ENSG00000245671		6	26251838	26253284	p22.2	lincRNA
ENSG00000250311		6	26472173	26479351	p22.2	lincRNA
ENSG00000244922		6	26569552	26574925	p22.2	lincRNA
ENSG00000248252		6	27109873	27113660	p22.1	lincRNA
ENSG00000246046		6	27661858	27676935	p22.1	lincRNA
ENSG00000248841		6	27729282	27731046	p22.1	lincRNA
ENSG00000224024		6	28089573	28105071	p22.1	lincRNA
ENSG00000246597		6	29867168	29911213	p22.1	lincRNA
ENSG00000245681		6	30644168	30655096	p21.33	lincRNA
ENSG00000247909		6	32862500	32871535	p21.32	lincRNA
ENSG00000244894		6	32918165	32920828	p21.32	lincRNA
ENSG00000245684		6	33395517	33421465	p21.32	lincRNA
ENSG00000246981		6	33599094	33601413	p21.31	lincRNA
ENSG00000248398		6	33646893	33652467	p21.31	lincRNA
ENSG00000244904		6	35118455	35132003	p21.31	lincRNA
ENSG00000249151		6	42756998	42759057	p21.1	lincRNA
ENSG00000249374		6	42997801	42998795	p21.1	lincRNA
ENSG00000248207		6	43297936	43300703	p21.1	lincRNA
ENSG00000250581		6	43858765	43905944	p21.1	lincRNA
ENSG00000251406		6	44059157	44060479	p21.1	lincRNA
ENSG00000251681		6	45539456	45544507	p21.1	lincRNA
ENSG00000250335		6	57125332	57127476	p11.2	lincRNA
ENSG00000247761		6	64395270	64423895	q12	lincRNA
ENSG00000249080		6	76359931	76362390	q14.1	lincRNA
ENSG00000247783		6	79943435	79946510	q14.1	lincRNA
ENSG00000245604		6	83829573	83848040	q14.1	lincRNA
ENSG00000251241		6	91054938	91072351	q15	lincRNA
ENSG00000246665		6	96996506	97142303	q16.1	lincRNA
ENSG00000251083		6	107828734	107837681	q21	lincRNA
ENSG00000245765		6	111815841	111817068	q21	lincRNA
ENSG00000249573		6	111982568	111989478	q21	lincRNA
ENSG00000250729		6	112221562	112230481	q21	lincRNA
ENSG00000245439		6	117993976	117996447	q22.1	lincRNA
ENSG00000249211		6	119773712	119790879	q22.31	lincRNA
ENSG00000246133		6	139046348	139094789	q24.1	lincRNA
ENSG00000246840	HYMAI	6	144324037	144329867	q24.2	lincRNA
ENSG00000251130		6	147713172	147912024	q24.3	lincRNA
ENSG00000248589		6	156647843	156684785	q25.3	lincRNA
ENSG00000249147		6	158733704	158929909	q25.3	lincRNA
ENSG00000248914		6	163759374	163768065	q26	lincRNA
ENSG00000251068		6	163928265	163932378	q26	lincRNA
ENSG00000232468		6	166756132	166764957	q27	lincRNA
ENSG00000251301		6	169575401	169582835	q27	lincRNA
ENSG00000245454		6	169819101	169825251	q27	lincRNA
ENSG00000244924		16	90036206	90038952	q24.3	lincRNA
ENSG00000248251		16	90234331	90235958	q24.3	lincRNA
ENSG00000245986		16	783055	785525	p13.3	lincRNA
ENSG00000250911		16	971073	984495	p13.3	lincRNA
ENSG00000249296		16	1014987	1022082	p13.3	lincRNA
ENSG00000251181		16	1367892	1419666	p13.3	lincRNA
ENSG00000245096		16	1722898	1727907	p13.3	lincRNA
ENSG00000245458		16	2231263	2317329	p13.3	lincRNA
ENSG00000250935		16	2604077	2614643	p13.3	lincRNA
ENSG00000236057		16	3087252	3109336	p13.3	lincRNA
ENSG00000249402		16	3160462	3165599	p13.3	lincRNA
ENSG00000245923		16	3178837	3182043	p13.3	lincRNA
ENSG00000225821		16	3313802	3317371	p13.3	lincRNA
ENSG00000245388		16	4295826	4303790	p13.3	lincRNA
ENSG00000247051		16	4658886	4661833	p13.3	lincRNA
ENSG00000245125		16	4684330	4690624	p13.3	lincRNA
ENSG00000250792		16	5083703	5094000	p13.3	lincRNA
ENSG00000249560		16	10556543	10559801	p13.13	lincRNA
ENSG00000250875		16	11559112	11567026	p13.13	lincRNA
ENSG00000248575	BCAR4	16	11913694	11922689	p13.13	lincRNA
ENSG00000248390		16	12662992	12666861	p13.12	lincRNA
ENSG00000246328		16	20685853	20693496	p12.3	lincRNA
ENSG00000250224		16	21413558	21416640	p12.2	lincRNA
ENSG00000249903		16	21419859	21421518	p12.2	lincRNA
ENSG00000249431		16	21439603	21443807	p12.2	lincRNA
ENSG00000245927		16	21601019	21610706	p12.2	lincRNA
ENSG00000248124		16	21821755	21831731	p12.2	lincRNA
ENSG00000248981		16	21845992	21849091	p12.2	lincRNA
ENSG00000248437		16	21852311	21853970	p12.2	lincRNA
ENSG00000249676		16	22540043	22541702	p12.2	lincRNA
ENSG00000245868		16	23487631	23490537	p12.2	lincRNA
ENSG00000250707		16	23681332	23684448	p12.2	lincRNA
ENSG00000249591		16	23886563	23889817	p12.2	lincRNA
ENSG00000249217		16	24715881	24721546	p12.1	lincRNA
ENSG00000248022		16	25043125	25052221	p12.1	lincRNA
ENSG00000245776		16	25078258	25080246	p12.1	lincRNA
ENSG00000245888		16	27280190	27283292	p12.1	lincRNA
ENSG00000250593		16	27458993	27464714	p12.1	lincRNA
ENSG00000249860		16	28357768	28473268	p11.2	lincRNA
ENSG00000251417		16	28814097	28829149	p11.2	lincRNA
ENSG00000245192		16	28897204	28936455	p11.2	lincRNA
ENSG00000250465		16	29494963	29497180	p11.2	lincRNA
ENSG00000246710		16	29756600	29761818	p11.2	lincRNA
ENSG00000246900		16	29829311	29832541	p11.2	lincRNA
ENSG00000247735		16	29938657	29940791	p11.2	lincRNA
ENSG00000250616		16	30107751	30116777	p11.2	lincRNA
ENSG00000248700		16	30234303	30237150	p11.2	lincRNA
ENSG00000249208		16	30240363	30242023	p11.2	lincRNA
ENSG00000245600		16	30538239	30541977	p11.2	lincRNA
ENSG00000235560		16	30546394	30548465	p11.2	lincRNA
ENSG00000250478		16	30627924	30635517	p11.2	lincRNA
ENSG00000249093		16	31052374	31054276	p11.2	lincRNA
ENSG00000249809		16	31413886	31416020	p11.2	lincRNA
ENSG00000247487		16	48380842	48387407	q12.1	lincRNA
ENSG00000251672		16	48389596	48396490	q12.1	lincRNA
ENSG00000248379		16	48390711	48392738	q12.1	lincRNA
ENSG00000248811		16	49954641	49958065	q12.1	lincRNA
ENSG00000250664		16	50052733	50108892	q12.1	lincRNA
ENSG00000245295		16	50700122	50705549	q12.1	lincRNA
ENSG00000249696		16	52305528	52314201	q12.1	lincRNA
ENSG00000249231		16	52586008	52640847	q12.2	lincRNA
ENSG00000248438		16	53676110	53678911	q12.2	lincRNA
ENSG00000245694	CRNDE	16	54952798	54962708	q12.2	lincRNA
ENSG00000246379		16	56126899	56225006	q12.2	lincRNA
ENSG00000248153		16	56217642	56220218	q12.2	lincRNA
ENSG00000249723		16	56334528	56336816	q12.2	lincRNA
ENSG00000250743		16	57477062	57481271	q21	lincRNA
ENSG00000246134		16	58535153	58547522	q21	lincRNA
ENSG00000245768		16	58783542	59142878	q21	lincRNA
ENSG00000245753		16	59889257	60087871	q21	lincRNA
ENSG00000250685		16	65318402	65610203	q21	lincRNA
ENSG00000234122		9	33634109	33634244	p13.3	TR_V_pseudogene
ENSG00000246898		16	66442427	66446038	q21	lincRNA
ENSG00000246901		16	66754800	66765688	q22.1	lincRNA
ENSG00000246777		16	66785655	66788643	q22.1	lincRNA
ENSG00000247228		16	70192860	70207351	q22.1	lincRNA
ENSG00000245206		16	70349547	70380650	q22.1	lincRNA
ENSG00000229063		9	33638033	33638492	p13.3	TR_V_gene
ENSG00000251103		16	70835990	70840039	q22.2	lincRNA
ENSG00000247324		16	71496181	71499844	q22.2	lincRNA
ENSG00000248902		16	71952815	71960887	q22.2	lincRNA
ENSG00000215206		9	33649045	33649612	p13.3	TR_V_pseudogene
ENSG00000250143		16	72317200	72325315	q22.2	lincRNA
ENSG00000249447		16	74226291	74249420	q23.1	lincRNA
ENSG00000247033		16	75142499	75144610	q23.1	lincRNA
ENSG00000211890	IGHA2	14	106053226	106054732	q32.33	IG_C_gene
ENSG00000250514		16	76668895	76692375	q23.1	lincRNA
ENSG00000250904		16	80600691	80603584	q23.2	lincRNA
ENSG00000245059		16	81110924	81112455	q23.2	lincRNA
ENSG00000248612		16	84492865	84500967	q24.1	lincRNA
ENSG00000245982		16	84599208	84610702	q24.1	lincRNA
ENSG00000246657		16	84695522	84700665	q24.1	lincRNA
ENSG00000251607		16	85319914	85337002	q24.1	lincRNA
ENSG00000250283		19	28982773	29123635	q12	lincRNA
ENSG00000211891	IGHE	14	106066278	106068065	q32.33	IG_C_gene
ENSG00000249466		16	86115627	86123132	q24.1	lincRNA
ENSG00000248887		19	32516768	32538679	q13.11	lincRNA
ENSG00000248463		16	86320033	86326993	q24.1	lincRNA
ENSG00000246979		16	86508135	86542466	q24.1	lincRNA
ENSG00000249027		19	32583596	32596822	q13.11	lincRNA
ENSG00000249530		19	32880959	32896445	q13.11	lincRNA
ENSG00000211892	IGHG4	14	106090687	106092403	q32.33	IG_C_gene
ENSG00000249886		19	34790582	34820103	q13.11	lincRNA
ENSG00000249594		16	87245728	87260023	q24.2	lincRNA
ENSG00000246294		19	35307061	35323773	q13.11	lincRNA
ENSG00000250435		16	87300864	87326044	q24.2	lincRNA
ENSG00000245734		16	88709930	88717449	q24.3	lincRNA
ENSG00000248495		19	35414103	35417732	q13.11	lincRNA
ENSG00000248168		16	88738213	88746008	q24.3	lincRNA
ENSG00000247203		19	36238146	36244316	q13.12	lincRNA
ENSG00000246576		19	36934263	37054324	q13.12	lincRNA
ENSG00000249569		16	88949680	88953544	q24.3	lincRNA
ENSG00000211893	IGHG2	14	106109389	106111127	q32.33	IG_C_gene
ENSG00000225467		16	89334512	89339452	q24.3	lincRNA
ENSG00000247034		19	37001927	37005584	q13.12	lincRNA
ENSG00000245218		19	37071157	37074507	q13.12	lincRNA
ENSG00000245412		16	89349778	89351806	q24.3	lincRNA
ENSG00000232819		19	37129593	37130950	q13.12	lincRNA
ENSG00000249088		16	89497373	89520902	q24.3	lincRNA
ENSG00000253755		14	106130970	106136180	q32.33	IG_C_pseudogene
ENSG00000244997		19	37264055	37267978	q13.12	lincRNA
ENSG00000245196		16	89584045	89588625	q24.3	lincRNA
ENSG00000251004		13	112911042	112927314	q34	lincRNA
ENSG00000247207		19	37288420	37319003	q13.12	lincRNA
ENSG00000250108		13	112967781	112976072	q34	lincRNA
ENSG00000248470		13	113517894	113521222	q34	lincRNA
ENSG00000211895	IGHA1	14	106173457	106175002	q32.33	IG_C_gene
ENSG00000246397		13	114253448	114256664	q34	lincRNA
ENSG00000248454		19	37816412	37820601	q13.12	lincRNA
ENSG00000249861		19	40129325	40133041	q13.2	lincRNA
ENSG00000246151		13	21872480	21876009	q12.11	lincRNA
ENSG00000231330		13	22615114	22850663	q12.11	lincRNA
ENSG00000249523		19	41285685	41302848	q13.2	lincRNA
ENSG00000253692		14	106188131	106188864	q32.33	IG_C_pseudogene
ENSG00000248788		13	23429412	23490508	q12.12	lincRNA
ENSG00000249527		19	41960079	42006559	q13.2	lincRNA
ENSG00000250943		13	23477402	23493348	q12.12	lincRNA
ENSG00000249940		13	24765539	24768436	q12.12	lincRNA
ENSG00000211896	IGHG1	14	106202680	106209408	q32.33	IG_C_gene
ENSG00000247381		13	28403906	28495541	q12.2	lincRNA
ENSG00000245799		13	28710984	28713311	q12.2	lincRNA
ENSG00000250528		19	42511266	42515084	q13.2	lincRNA
ENSG00000246716		13	29293262	29299073	q12.3	lincRNA
ENSG00000249075		19	42656721	42661675	q13.2	lincRNA
ENSG00000246099		13	30083552	30088215	q12.3	lincRNA
ENSG00000247547		19	44326226	44331358	q13.31	lincRNA
ENSG00000245212		13	32999061	33002299	q13.1	lincRNA
ENSG00000247377		19	44395957	44405957	q13.31	lincRNA
ENSG00000211897		14	106235439	106237742	q32.33	IG_C_gene
ENSG00000250353		13	36470761	36477094	q13.3	lincRNA
ENSG00000246321		19	44501048	44506988	q13.31	lincRNA
